中央电视台,#genre#
浙江卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226474/index.m3u8
东方卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226549/index.m3u8
深圳卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226543/index.m3u8
广东卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226408/index.m3u8
北京卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226545/index.m3u8
天津卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226488/index.m3u8
东南卫视,http://112.17.40.140/PLTV/88888888/224/3221226134/index.m3u8
云南卫视,http://112.17.40.140/PLTV/88888888/224/3221226241/index.m3u8
兵团卫视,http://112.17.40.140/PLTV/88888888/224/3221226186/index.m3u8
内蒙古卫视,http://112.17.40.140/PLTV/88888888/224/3221226174/index.m3u8
吉林卫视,http://112.17.40.140/PLTV/88888888/224/3221226158/index.m3u8
四川卫视,http://112.17.40.140/PLTV/88888888/224/3221226215/index.m3u8
宁夏卫视,http://112.17.40.140/PLTV/88888888/224/3221226209/index.m3u8
山东卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226587/index.m3u8
山东教育卫视,http://112.17.40.140/PLTV/88888888/224/3221226652/index.m3u8
山西卫视,http://112.17.40.140/PLTV/88888888/224/3221226114/index.m3u8
广西卫视,http://112.17.40.140/PLTV/88888888/224/3221226211/index.m3u8
新疆卫视,http://112.17.40.140/PLTV/88888888/224/3221226124/index.m3u8
旅游卫视,http://112.17.40.140/PLTV/88888888/224/3221226116/index.m3u8
江西卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226128/index.m3u8
河南卫视,http://112.17.40.140/PLTV/88888888/224/3221226130/index.m3u8
湖北卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226494/index.m3u8
甘肃卫视,http://112.17.40.140/PLTV/88888888/224/3221226187/index.m3u8
西藏卫视,http://112.17.40.140/PLTV/88888888/224/3221226160/index.m3u8
贵州卫视,http://112.17.40.140/PLTV/88888888/224/3221226146/index.m3u8
辽宁卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226148/index.m3u8
重庆卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226217/index.m3u8
陕西卫视,http://112.17.40.140/PLTV/88888888/224/3221226177/index.m3u8
黑龙江卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226492/index.m3u8
 
大视影界,#genre#
峨峨眉电影,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
邵氏影院,https://cn-lnsy-cu-live-01.live-play.acgvideo.com/live-bvc/164215/live_97065163_17925468.m3u8
CHC超清,http://ott.cqccn.com/PLTV/88888888/224/3221227472/index.m3u8
CHC家庭,http://ott.cqccn.com/PLTV/88888888/224/3221227490/index.m3u8
CHC动作,http://ott.cqccn.com/PLTV/88888888/224/3221227493/index.m3u8
TVB港剧1,https://dlhls-cdn-mp.zhanqi.tv/zqlive/123407_XhQs9.m3u8
TVB港剧2,https://dlhls-cdn-mp.zhanqi.tv/zqlive/154733_xcVyM.m3u8
KAIXIN,https://dlhls-cdn-mp.zhanqi.tv/zqlive/219628_O3y9l.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
开心影院,http://hpull.kktv8.com/livekktv/111536805/playlist.m3u8
粤语影片,https://cn-jssz-cmcc-live-01.bilivideo.com/live-bvc/933996/live_88547185_8335137.m3u8
天魔小M,https://dlhls-cdn-mp.zhanqi.tv/zqlive/275792_qIz6B.m3u8
周口影视,https://dlhls-cdn-mp.zhanqi.tv/zqlive/80918_cr4oy.m3u8
从前影院,https://dlhls-cdn-mp.zhanqi.tv/zqlive/197952_NHycj.m3u8
脑袋大小,https://dlhls-cdn-mp.zhanqi.tv/zqlive/93774_g0UdM.m3u8
七侠客栈,https://dlhls-cdn-mp.zhanqi.tv/zqlive/286120_2SFM6.m3u8
海爷小新,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/293317/live_255137759_7132099.m3u8
黄金剧场,http://mtv.jdvip.win/tv/mgutv.php?id=625155140
军旅剧场,http://mtv.jdvip.win/tv/mgutv.php?id=625643517#http://a.315600.xyz/dl/aqy.php?id=380115122
精品国产,http://mtv.jdvip.win/tv/mgutv.php?id=625574378
乡村爱情,http://mtv.jdvip.win/tv/mgutv.php?id=625774662
红色谍战,http://mtv.jdvip.win/tv/mgutv.php?id=634274665
每日科幻,http://mtv.jdvip.win/tv/mgutv.php?id=625204865
星驰影院,http://mtv.jdvip.win/tv/mgutv.php?id=623338112
追剧少女,http://mtv.jdvip.win/tv/mgutv.php?id=617432318
怀旧老片,http://mtv.jdvip.win/tv/mgutv.php?id=621640582
武侠剧场,http://mtv.jdvip.win/tv/mgutv.php?id=627198822
动漫剧场,http://mtv.jdvip.win/tv/mgutv.php?id=627198751
假期剧场,http://mtv.jdvip.win/tv/mgutv.php?id=627198692
精品剧场,http://mtv.jdvip.win/tv/mgutv.php?id=615810094
四大名著,http://mtv.jdvip.win/tv/mgutv.php?id=625498432#http://mtv.jdvip.win/tv/mgutv.php?id=625498431
金庸频道,http://mtv.jdvip.win/tv/mgutv.php?id=625774640
戏骨剧场,http://mtv.jdvip.win/tv/mgutv.php?id=625526423
笑傲江湖,http://mtv.jdvip.win/tv/mgutv.php?id=625759558
新鹿鼎记,http://mtv.jdvip.win/tv/mgutv.php?id=625681368
刘涛作品,http://mtv.jdvip.win/tv/mgutv.php?id=625514969
天龙八部,http://mtv.jdvip.win/tv/mgutv.php?id=625703337
盗墓方法,http://mtv.jdvip.win/tv/mgutv.php?id=625525181
德华作品,http://mtv.jdvip.win/tv/mgutv.php?id=659315648
喜剧联盟,http://mtv.jdvip.win/tv/mgutv.php?id=637444830
热播剧场,http://mtv.jdvip.win/tv/mgutv.php?id=629943613
频道,http://mtv.jdvip.win/tv/mgutv.php?id=629943678
僵尸剧场,http://mtv.jdvip.win/tv/mgutv.php?id=627033504
抗战老片,http://mtv.jdvip.win/tv/mgutv.php?id=625542372
高分电影,http://mtv.jdvip.win/tv/mgutv.php?id=627198191
新狄仁杰,http://mtv.jdvip.win/tv/mgutv.php?id=625574493
新片放映,http://mtv.jdvip.win/tv/mgutv.php?id=619495952
暑假剧场,http://mtv.jdvip.win/tv/mgutv.php?id=627198610
破案现场,http://mtv.jdvip.win/tv/mgutv.php?id=627033503
强综艺趴,http://mtv.jdvip.win/tv/mgutv.php?id=629942228
經典懷舊,http://106.54.30.243/dl/YY.php?t=1353518742
傑周潤發,http://106.54.30.243/dl/163cc.php?t=19681748
經典搞笑,http://106.54.30.243/dl/YY.php?t=28205255
僵屍女鬼,http://106.54.30.243/dl/YY.php?t=28882933
網球王子,http://106.54.30.243/dl/YY.php?t=22777075
動漫龍珠,http://106.54.30.243/dl/YY.php?t=26664495
僵屍猛鬼,http://106.54.30.243/dl/YY.php?t=1393837072
女鬼相親,http://106.54.30.243/dl/YY.php?t=24066336
鬼片500,http://106.54.30.243/dl/YY.php?t=1353059120
女鬼艷鬼,http://106.54.30.243/dl/YY.php?t=30262199
歐美科幻,http://106.54.30.243/dl/YY.php?t=37988782
熱漫專場,http://106.54.30.243/dl/YY.php?t=1353103539
盜墓玄幻,http://106.54.30.243/dl/YY.php?t=1352875014
盜墓筆记,http://106.54.30.243/dl/YY.php?t=33386733
科幻電影,http://106.54.30.243/dl/YY.php?t=35133142
羅誌祥片,http://106.54.30.243/dl/YY.php?t=36912445
菊椒男孩,http://106.54.30.243/dl/YY.php?t=1351494949
古惑仔片,http://106.54.30.243/dl/YY.php?t=1352469735
阿祖經典,http://106.54.30.243/dl/YY.php?t=25560981
迷妳短劇,http://106.54.30.243/dl/YY.php?t=1351511282
霸美猴王,http://106.54.30.243/dl/YY.php?t=78939373
經典瑯榜,http://106.54.30.243/dl/YY.php?t=30603885
經典重溫,http://106.54.30.243/dl/aqy.php?id=3801152
經典頻道,http://mtv.jdvip.win/tv/mgutv.php?id=625542369
网易点歌,https://cn-ahhf-cmcc-live-02.bilivideo.com/live-bvc/325151/live_25303175_5745325.m3u8
医馆笑传,https://cn-ahhf-cmcc-live-02.bilivideo.com/live-bvc/297681/live_250188964_3487758.m3u8
象棋直播,http://45.93.217.106/jiuban/huya.php?id=21640376
联盟赛事,http://45.93.217.106/jiuban/huya.php?id=lpl
动漫斗罗,http://sousou2.top/dl/yy1.php?t=35742228
香港赌片,http://sousou2.top/dl/yy1.php?t=29900720
枪战恩仇,http://sousou2.top/dl/yy1.php?t=37758710
搞笑赌片,http://sousou2.top/dl/yy1.php?t=1353881242
欧美新影,http://sousou2.top/dl/yy1.php?t=14503914
亮剑超清,http://sousou2.top/dl/yy1.php?t=32110908
林正英片,http://sousou2.top/dl/yy1.php?t=1353018737
微服私访,http://sousou2.top/dl/yy1.php?t=34811100
元芳怎看,http://sousou2.top/dl/yy1.php?t=1351755386
主播求顾,http://sousou2.top/dl/yy1.php?t=1353074059
斗罗大陆,http://sousou2.top/dl/yy1.php?t=1420843376
僵尸女鬼,http://sousou2.top/dl/yy1.php?t=24066336
燕双鹰场,http://sousou2.top/dl/yy1.php?t=1352227153
欧美影视,http://sousou2.top/dl/yy1.php?t=1353281165
DOX TV,http://106.54.30.243/gz009/gz.php?id=doxtv
DOX劇場,http://106.54.30.243/gz009/gz.php?id=doxjchd
DOX怡家,http://106.54.30.243/gz009/gz.php?id=doxyjhd
DOX新知,http://106.54.30.243/gz009/gz.php?id=doxxzhd
DOX新藝,http://106.54.30.243/gz009/gz.php?id=doxxyhd
DOX映畫,http://106.54.30.243/gz009/gz.php?id=doxyhhd
DOX英倫,http://106.54.30.243/gz009/gz.php?id=doxylhd
DOX院線,http://106.54.30.243/gz009/gz.php?id=doxyxhd
DOX雅趣,http://106.54.30.243/gz009/gz.php?id=doxyqhd
锐剑影视①,http://112.50.243.8/PLTV/88888888/224/3221226736/1.m3u8 
锐剑影视②,http://112.50.243.8/PLTV/88888888/224/3221225881/1.m3u8 
锐剑影视③,http://112.50.243.8/PLTV/88888888/224/3221226708/1.m3u8 
锐剑影视④,http://112.50.243.8/PLTV/88888888/224/3221226712/1.m3u8 
锐剑影视⑤,http://112.50.243.8/PLTV/88888888/224/3221225893/1.m3u8 
锐剑影视⑥,http://112.50.243.8/PLTV/88888888/224/3221226692/1.m3u8 
锐剑影视⑦,http://112.50.243.8/PLTV/88888888/224/3221226754/1.m3u8 
锐剑动画⑧,http://112.50.243.8/PLTV/88888888/224/3221226741/1.m3u8 
电影色戒,https://qqc1107.phpdaniu.com/japan/20190829/5fjOUM6C/index.m3u8
电影苹果,https://qqc1107.phpdaniu.com/japan/20190821/xKAFD0kH/800kb/hls/index.m3u8
电影丑闻,https://qqc1107.phpdaniu.com/japan/20190821/7vpRqM9k/index.m3u8
为你钟情,https://qqc1107.phpdaniu.com/japan/20190820/zelJotND/800kb/hls/index.m3u8
魔鬼天使,https://qqc1107.phpdaniu.com/japan/20190821/lAEs5Rri/index.m3u8
黑莓电竞,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226262/1.m3u8
黑莓电影,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226292/1.m3u8 
黑莓动画,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225914/1.m3u8
Ihot电竞,http://101.71.255.229:6610/zjhs/2/10110/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot动漫,http://101.71.255.229:6610/zjhs/2/10107/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot都市,http://101.71.255.229:6610/zjhs/2/10111/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot江湖,http://101.71.255.229:6610/zjhs/2/10114/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot解密,http://101.71.255.229:6610/zjhs/2/10109/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot经典,http://101.71.255.229:6610/zjhs/2/10106/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot军武,http://101.71.255.229:6610/zjhs/2/10119/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot科幻,http://101.71.255.229:6610/zjhs/2/10113/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot历史,http://101.71.255.229:6610/zjhs/2/10120/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot美食,http://101.71.255.229:6610/zjhs/2/10108/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot奇谈,http://101.71.255.229:6610/zjhs/2/10103/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot时尚,http://101.71.255.229:6610/zjhs/2/10118/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot世界,http://101.71.255.229:6610/zjhs/2/10121/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot玩具,http://101.71.255.229:6610/zjhs/2/10117/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot喜剧,http://101.71.255.229:6610/zjhs/2/10105/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot悬疑,http://101.71.255.229:6610/zjhs/2/10104/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot幼教,http://101.71.255.229:6610/zjhs/2/10112/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
Ihot院线,http://101.71.255.229:6610/zjhs/2/10116/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
宝宝课堂,http://a.315600.xyz/dl/aqy.php?id=380186522
医院故事,http://a.315600.xyz/dl/aqy.php?id=380719022
亲子启蒙,http://a.315600.xyz/dl/aqy.php?id=380185522
小猪佩奇,http://a.315600.xyz/dl/aqy.php?id=380221622
电影大片,http://a.315600.xyz/dl/aqy.php?id=380187322
东方卫视,http://a.315600.xyz/dl/aqy.php?id=380165322
第三调室,http://a.315600.xyz/dl/aqy.php?id=380722622
央视大剧,http://a.315600.xyz/dl/aqy.php?id=380228822
爆笑精选,http://a.315600.xyz/dl/aqy.php?id=380192122
自然地理,http://a.315600.xyz/dl/aqy.php?id=380115822
王凯影片,http://a.315600.xyz/dl/aqy.php?id=380718022
热播电剧,http://a.315600.xyz/dl/aqy.php?id=380185322
巧虎影片,http://a.315600.xyz/dl/aqy.php?id=380222922
口碑年剧,http://a.315600.xyz/dl/aqy.php?id=380719822
历史秘闻,http://a.315600.xyz/dl/aqy.php?id=380115922
玩具乐园,http://a.315600.xyz/dl/aqy.php?id=380185422
兔贝儿歌,http://a.315600.xyz/dl/aqy.php?id=380222422
倒霉熊片,http://a.315600.xyz/dl/aqy.php?id=380221722
宫廷正剧,http://a.315600.xyz/dl/aqy.php?id=380115322
浙江卫视,http://a.315600.xyz/dl/aqy.php?id=380115422
家有儿女,http://a.315600.xyz/dl/aqy.php?id=380717222
华语院线,http://a.315600.xyz/dl/aqy.php?id=380718822
温情影院,http://a.315600.xyz/dl/aqy.php?id=380229022
家庭剧场,http://a.315600.xyz/dl/aqy.php?id=380114922
青春剧场,http://a.315600.xyz/dl/aqy.php?id=380216122
情景喜剧,http://a.315600.xyz/dl/aqy.php?id=380115022
广场舞大全,http://a.315600.xyz/dl/aqy.php?id=380186322
老年剧场,http://a.315600.xyz/dl/aqy.php?id=380720622
小说改编,http://a.315600.xyz/dl/aqy.php?id=380721022
悠然小天,http://a.315600.xyz/dl/aqy.php?id=380206822
张嘉译片,http://a.315600.xyz/dl/aqy.php?id=380666222
抗战剧场,http://a.315600.xyz/dl/aqy.php?id=380215422
奔跑吧,http://a.315600.xyz/dl/aqy.php?id=380716022
我的世界,http://a.315600.xyz/dl/aqy.php?id=380124922
喜羊羊片,http://a.315600.xyz/dl/aqy.php?id=380183422
聂远影片,http://a.315600.xyz/dl/aqy.php?id=401310122
票房收割,http://a.315600.xyz/dl/aqy.php?id=380173822
名探柯南,http://a.315600.xyz/dl/aqy.php?id=380158422
杨幂影片,http://a.315600.xyz/dl/aqy.php?id=380717822
江苏卫视,http://a.315600.xyz/dl/aqy.php?id=380175922
收视冠军,http://a.315600.xyz/dl/aqy.php?id=380128522
童年经典,http://a.315600.xyz/dl/aqy.php?id=380183622
真人秀片,http://a.315600.xyz/dl/aqy.php?id=380191822
爆笑虫子,http://a.315600.xyz/dl/aqy.php?id=380221522
动画电影,http://a.315600.xyz/dl/aqy.php?id=380206422
怀旧剧场,http://a.315600.xyz/dl/aqy.php?id=401310322
经典重温,http://a.315600.xyz/dl/aqy.php?id=380115222
武林外传,http://a.315600.xyz/dl/aqy.php?id=380176022
猫和老鼠,http://a.315600.xyz/dl/aqy.php?id=380158622
蜡笔小新,http://a.315600.xyz/dl/aqy.php?id=380176322
铠甲勇士,http://a.315600.xyz/dl/aqy.php?id=380183522
炊事班事,http://a.315600.xyz/dl/aqy.php?id=380158222
戏曲影片,http://a.315600.xyz/dl/aqy.php?id=380229122
人文社会,http://a.315600.xyz/dl/aqy.php?id=380116022
粤语原声,http://a.315600.xyz/dl/aqy.php?id=380719622
科学探索,http://a.315600.xyz/dl/aqy.php?id=380115722
王牌对王,http://a.315600.xyz/dl/aqy.php?id=380228622
婚姻剧场,http://a.315600.xyz/dl/aqy.php?id=380720822
文化奇谈,http://a.315600.xyz/dl/aqy.php?id=380207122
经典纪实,http://a.315600.xyz/dl/aqy.php?id=380722222
科技前线,http://a.315600.xyz/dl/aqy.php?id=380121622
湖南卫视,http://a.315600.xyz/dl/aqy.php?id=380138522
绝地求生,http://a.315600.xyz/dl/aqy.php?id=380192022
金牌调解,http://a.315600.xyz/dl/aqy.php?id=401311322
倪大红片,http://a.315600.xyz/dl/aqy.php?id=380718622
旅游攻略,http://a.315600.xyz/dl/aqy.php?id=380121122
军事观察,http://a.315600.xyz/dl/aqy.php?id=380121222
怀旧动画,http://a.315600.xyz/dl/aqy.php?id=380176422
爱情保卫战,http://a.315600.xyz/dl/aqy.php?id=380191922
康熙王朝,http://a.315600.xyz/dl/aqy.php?id=380715822
惊悚午夜,http://a.315600.xyz/dl/aqy.php?id=380174022
奥特曼,http://a.315600.xyz/dl/aqy.php?id=380176222
杨紫影片,http://a.315600.xyz/dl/aqy.php?id=380222522
办公室事,http://a.315600.xyz/dl/aqy.php?id=380719422
情感调解,http://a.315600.xyz/dl/aqy.php?id=380115522
权谋剧场,http://a.315600.xyz/dl/aqy.php?id=380721222
赵丽颖片,http://a.315600.xyz/dl/aqy.php?id=380666422
我和祖国,http://a.315600.xyz/dl/aqy.php?id=380714422
宰相刘罗锅,http://a.315600.xyz/dl/aqy.php?id=380717022
天骐播客,http://a.315600.xyz/dl/aqy.php?id=380186622
儿歌大全,http://a.315600.xyz/dl/aqy.php?id=380221922
纪晓岚片,http://a.315600.xyz/dl/aqy.php?id=380715022
宠物台片,http://a.315600.xyz/dl/aqy.php?id=400300122
日韩院线,http://a.315600.xyz/dl/aqy.php?id=401310522
老骨飙戏,http://a.315600.xyz/dl/aqy.php?id=380720222
仙侠玄幻,http://a.315600.xyz/dl/aqy.php?id=380176122
豆瓣高分,http://a.315600.xyz/dl/aqy.php?id=380173922
靳东影片,http://a.315600.xyz/dl/aqy.php?id=380718222
我前半生,http://a.315600.xyz/dl/aqy.php?id=380715622
朱亚文片,http://a.315600.xyz/dl/aqy.php?id=380716822
老剧超清,http://a.315600.xyz/dl/aqy.php?id=380717422
琅琊榜片,http://a.315600.xyz/dl/aqy.php?id=380215922
特种兵片,http://a.315600.xyz/dl/aqy.php?id=380719222
下饭频道,http://a.315600.xyz/dl/aqy.php?id=380121722
周末影院,http://a.315600.xyz/dl/aqy.php?id=380228922
脱口秀选,http://a.315600.xyz/dl/aqy.php?id=380189522
奇妙世界,http://a.315600.xyz/dl/aqy.php?id=380121322
英文儿歌,http://a.315600.xyz/dl/aqy.php?id=380221822
英雄联盟,http://a.315600.xyz/dl/aqy.php?id=380124822
动画天地,http://a.315600.xyz/dl/aqy.php?id=380206722
城乡生活,http://a.315600.xyz/dl/aqy.php?id=380720022
胡歌电影,http://a.315600.xyz/dl/aqy.php?id=380716422
重磅综艺,http://a.315600.xyz/dl/aqy.php?id=380189322
美食厨房,http://a.315600.xyz/dl/aqy.php?id=380187022
亲子游戏,http://a.315600.xyz/dl/aqy.php?id=380191722
宝宝巴士,http://a.315600.xyz/dl/aqy.php?id=380222622
动作电影,http://a.315600.xyz/dl/aqy.php?id=380173422
郭德纲片,http://a.315600.xyz/dl/aqy.php?id=380207322
经典港片,http://a.315600.xyz/dl/aqy.php?id=380173722
大头儿子,http://a.315600.xyz/dl/aqy.php?id=380183322
伪装者片,http://a.315600.xyz/dl/aqy.php?id=380715422
贝瓦儿歌,http://a.315600.xyz/dl/aqy.php?id=380222322
儿童乐园,http://a.315600.xyz/dl/aqy.php?id=380188722
神探狄杰,http://a.315600.xyz/dl/aqy.php?id=380714822
相亲选秀,http://a.315600.xyz/dl/aqy.php?id=380115622
养生堂片,http://a.315600.xyz/dl/aqy.php?id=380216222
谍战剧场,http://a.315600.xyz/dl/aqy.php?id=380215722
国剧修复,http://a.315600.xyz
 
娱乐,#genre#
IPTV相声小品,http://39.134.39.37/PLTV/88888888/224/3221226260/index.m3u8
BIU综合游戏频道一,https://tc-tct.douyucdn2.cn/dyliveflv1/5095833rqlAw5bqI.flv?wsAuth=8798f03b38be33dd3d1fb9f1efc81c59&token=web-cph-11395989-5095833-eef9dcfe6aded1c10157944450f1cf25db65e91721de1884&logo=0&expire=0&did=3f40950bcc6e5220e10ba54100041501&pt=2&st=0&origin=all&mix=0&isp=&v=220120200831&did=3f40950bcc6e5220e10ba54100041501&tt=1598835215&sign=1aca9cca868c30ea4f60402d4ba38f73&cdn=&rate=-1&ver=Douyu_220082805&iar=1&ive=0&hevc=0
 
 
香港,#genre#
凤凰中文,http://live.vpnyun.tk:8080/demo/456321/24
凤凰资讯,http://live.vpnyun.tk:8080/demo/456321/25
凤凰资讯,http://live.vpnyun.tk:8080/demo/456321/26
凤凰香港,http://live.vpnyun.tk:8080/demo/456321/27
无线翡翠,http://live.vpnyun.tk:8080/demo/456321/1
无线星河,http://live.vpnyun.tk:8080/demo/456321/20
奇妙一台,http://live.vpnyun.tk:8080/demo/456321/15
奇妙六台,http://live.vpnyun.tk:8080/demo/456321/16
无线经典,http://live.vpnyun.tk:8080/demo/456321/21
无线明珠,http://live.vpnyun.tk:8080/demo/456321/2
有线新闻,http://live.vpnyun.tk:8080/demo/456321/5
卫视卡式,http://live.vpnyun.tk:8080/demo/456321/23
无线华丽,http://live.vpnyun.tk:8080/demo/456321/22
now新闻,http://live.vpnyun.tk:8080/demo/456321/6
now直播,http://live.vpnyun.tk:8080/demo/456321/17
无线二台,http://live.vpnyun.tk:8080/demo/456321/7
RTHK31,http://live.vpnyun.tk:8080/demo/456321/18
RTHK32,http://live.vpnyun.tk:8080/demo/456321/19
无线新闻,http://live.vpnyun.tk:8080/demo/456321/3
无线财经,http://live.vpnyun.tk:8080/demo/456321/4
有线娱乐,http://live.vpnyun.tk:8080/demo/456321/12
有线电影,http://live.vpnyun.tk:8080/demo/456321/13
香港开视,http://live.vpnyun.tk:8080/demo/456321/14
有线体育1,http://live.vpnyun.tk:8080/demo/456321/10
有线体育2,http://live.vpnyun.tk:8080/demo/456321/11
有线18台,http://live.vpnyun.tk:8080/demo/456321/9
有线 603,http://live.vpnyun.tk:8080/demo/456321/8
香港电视,http://live.vpnyun.tk:8080/demo/456321/28
 
台湾,#genre#
民视,http://nb.iptv88888.xyz/hls/minshi.m3u8
民视新闻,http://nb.iptv88888.xyz/hls/msxinwen.m3u8
民视第一,http://nb.iptv88888.xyz/hls/msone.m3u8
民视台湾,http://nb.iptv88888.xyz/hls/mstaiwan.m3u8
华视,http://nb.iptv88888.xyz/hls/huashi.m3u8
华视新闻,http://nb.iptv88888.xyz/hls/hsnews.m3u8
华视教育,http://nb.iptv88888.xyz/hls/hsedu.m3u8
公视,http://nb.iptv88888.xyz/hls/gongshi.m3u8
公視2,http://nb.iptv88888.xyz/hls/gongshi2.m3u8
公視3,http://nb.iptv88888.xyz/hls/gongshi3.m3u8
台视,http://nb.iptv88888.xyz/hls/taishi.m3u8
台视综合,http://nb.iptv88888.xyz/hls/ttvzonghe.m3u8
大爱,http://nb.iptv88888.xyz/hls/daaiws.m3u8
台视新闻,http://nb.iptv88888.xyz/hls/tsxinwen.m3u8
中视,http://nb.iptv88888.xyz/hls/zhongshi.m3u8
中视经典,http://nb.iptv88888.xyz/hls/zsjingdian.m3u8
中视新闻,http://nb.iptv88888.xyz/hls/zsxinwen.m3u8
中视箐采,http://nb.iptv88888.xyz/hls/zsqingcai.m3u8
TVBS,http://nb.iptv88888.xyz/hls/tvbsm.m3u8
TVBS新闻,http://nb.iptv88888.xyz/hls/tvbsxwm.m3u8
TVBS欢乐,http://nb.iptv88888.xyz/hls/tvbshuanle.m3u8
中天综合,http://nb.iptv88888.xyz/hls/ztzonghe.m3u8
中天娱乐,http://nb.iptv88888.xyz/hls/ztyule.m3u8
八大综合,http://nb.iptv88888.xyz/hls/bdzonghe.m3u8
八大第一,http://nb.iptv88888.xyz/hls/bddiyi.m3u8
八大戏剧,http://nb.iptv88888.xyz/hls/bdxiju.m3u8
八大娱乐,http://nb.iptv88888.xyz/hls/bdyule.m3u8
东森综合,http://nb.iptv88888.xyz/hls/dongsenzh.m3u8
东森戏剧,http://nb.iptv88888.xyz/hls/dsxiju.m3u8
东森电影,http://nb.iptv88888.xyz/hls/dsmovie.m3u8
东森超视,http://nb.iptv88888.xyz/hls/dschaoshi.m3u8
东森洋片,http://nb.iptv88888.xyz/hls/dsyangpian.m3u8
东森新闻,http://nb.iptv88888.xyz/hls/dsxinwen.m3u8
